CAN,1,HON,1
PAN,0,CRC,0
MEX,2,JAM,1
SLV,0,USA,0
JAM,0,PAN,3
CRC,0,MEX,1
SLV,0,HON,0
USA,1,CAN,1
CAN,3,SLV,0
PAN,1,MEX,1
CRC,1,JAM,1
HON,1,USA,4
USA,2,JAM,0
HON,0,CRC,0
MEX,1,CAN,1
SLV,1,PAN,0
PAN,1,USA,0
JAM,0,CAN,0
CRC,2,SLV,1
MEX,3,HON,0
USA,2,CRC,1
CAN,4,PAN,1
HON,0,JAM,2
SLV,0,MEX,2
HON,2,PAN,3
USA,2,MEX,0
CAN,1,CRC,0
SLV,1,JAM,1
JAM,1,USA,1
CRC,2,HON,1
PAN,2,SLV,1
CAN,2,MEX,1
HON,,CAN,
USA,,SLV,
CRC,,PAN,
JAM,,MEX,
CAN,,USA,
HON,,SLV,
MEX,,CRC,
PAN,,JAM,
SLV,,CAN,
USA,,HON,
MEX,,PAN,
JAM,,CRC,
CRC,,CAN,
PAN,,HON,
JAM,,SLV,
MEX,,USA,
CAN,,JAM,
HON,,MEX,
SLV,,CRC,
USA,,PAN,
PAN,,CAN,
JAM,,HON,
MEX,,SLV,
CRC,,USA,
